ciclo,ciclo,t_feed,t_rinse,t_blow,t_purge,purity_H2,H2_CO_ratio,purity_CO2,recovery_CO2,productivity
0,10,680,265,130,80,67.02802359504135,2.1211421289256203,86.95466024793392,90.4565033057851,3.9709649413223147
1,11,680,265,130,80,66.61255270833333,2.1565301583333327,89.50113666666668,93.26343937500002,4.085543822916668
2,12,680,265,130,80,66.48674512396695,2.1750323743801654,90.32933744628096,94.54778760330576,4.137525648760332
3,13,680,265,130,80,66.41504779166664,2.184220829166667,90.5913331666667,94.84433375000002,4.149884947916667
4,14,680,265,130,80,66.38666801322316,2.187347159669421,90.68096185123963,94.91814821487607,4.152916291239668
5,15,680,187,130,90,67.94271460526316,2.3201644328947375,85.56970394736844,105.07911289473687,4.86101497105263
6,16,680,187,130,90,68.4809128761062,2.3007128402654877,83.36907650442477,101.54477451327432,4.726807984513274
7,17,680,187,130,90,68.61386157894735,2.291579684210526,82.6473667105263,100.26095994736838,4.671383735526316
8,18,680,187,130,90,68.69583728947367,2.2864830355263157,82.4137997368421,99.85127194736843,4.653558534210527
9,19,680,187,130,90,68.71999605663719,2.28469658460177,82.33037746902656,99.73083190265486,4.64832772
10,20,715,187,130,90,68.4494748931624,2.2665353038461533,82.71246679487179,98.06022784188033,4.6727333547008545
11,21,715,187,130,90,68.35689819230768,2.2669421153846145,82.9343953076923,98.36563230769234,4.700929615384616
12,22,715,187,130,90,68.32237692307693,2.267769842307692,83.01588153846156,98.54796307692312,4.708910380769232
13,23,715,187,130,90,68.30870694871794,2.268312053418804,83.04459401709404,98.59467542735047,4.710956400427348
14,24,715,187,130,90,68.30316723076925,2.2685212584615386,83.05525426153844,98.60934846153843,4.711591463076922
15,25,715,200,130,110,68.04780037190083,2.2457829752066103,82.22885250000002,102.99531227272729,4.799993484710744
16,26,715,200,130,110,68.47240187499999,2.25395415,81.65468166666666,101.05154437500002,4.697433454166668
17,27,715,200,130,110,68.57879219008267,2.25439083016529,81.39287995867767,100.27574136363636,4.662754694214875
18,28,715,200,130,110,68.64852125000002,2.2545598166666667,81.29880437500002,100.05510408333332,4.653327264583334
19,29,715,200,130,110,68.66758839669421,2.2544769033057848,81.2618490247934,99.99879010247933,4.650929292396693
20,30,715,200,135,115,68.67886842975204,2.2544597876033063,80.8703188429752,101.20063479338845,4.672650495867767
21,31,715,200,135,115,68.76286675409837,2.255949948770493,80.62869090163935,100.61817132786885,4.641017852459016
22,32,715,200,135,115,68.78724582644628,2.255749667355371,80.53396561983472,100.33728112396696,4.628516226446281
23,33,715,200,135,115,68.80068949999998,2.255574895081968,80.5014436147541,100.26587590163935,4.625419781967214
24,34,715,200,135,115,68.80483200000002,2.2554754328925615,80.48991535867768,100.24713041322312,4.624608720330578
25,35,650,240,130,85,68.51508771551725,2.21662167887931,84.40480385775864,91.4934695258621,4.02045397887931
26,36,650,240,130,85,68.0354985869565,2.2115663673913053,86.3432631521739,96.0791952173913,4.183843423913044
27,37,650,240,130,85,67.88324105603448,2.2166838732758625,87.03266327586208,97.90413920258621,4.2597088913793115
28,38,650,240,130,85,67.79963217391304,2.2197426108695653,87.26379478260871,98.3731472826087,4.278855869565219
29,39,650,240,130,85,67.7710238803419,2.2211583729914537,87.34502965811963,98.49719059829063,4.283908407008547
30,40,650,190,140,85,68.80670040540541,2.322679972972973,84.39777918918915,103.289145,4.649990601351353
31,41,650,190,140,85,68.85804361607141,2.3046801517857145,83.20616714285711,101.14173644642857,4.565561316964287
32,42,650,190,140,85,68.89241513513512,2.299499581081082,82.82579345945949,100.35610918918917,4.533007747297297
33,43,650,190,140,85,68.90387517857141,2.2957315508928566,82.7010682142857,100.12231455357144,4.522886506696429
34,44,650,190,140,85,68.90940681818186,2.294470974727274,82.65764278181817,100.0473687781818,4.519681586909089
35,45,700,190,140,100,68.51368436440677,2.266906062711863,82.00207156779656,101.71180148728813,4.697089964406777
36,46,700,190,140,100,68.70677042372881,2.271456509322034,81.64999864406776,100.49129646186441,4.659783345338984
37,47,700,190,140,100,68.74627163559322,2.2720401644067802,81.51101415254239,100.07639118644067,4.641045325
38,48,700,190,140,100,68.78119707627118,2.2724513550847467,81.46550038135591,99.95350775423724,4.635795813559324
39,49,700,190,140,100,68.78960625423727,2.2725319520338987,81.44871581694916,99.92547769491522,4.6346029122033885
40,50,700,210,135,105,68.4259829166667,2.2375872166666673,82.17234995833333,99.88869862499999,4.564142589583332
41,51,700,210,135,105,68.50702104166666,2.2433571645833337,82.47877958333335,99.86042558333335,4.552477739583333
42,52,700,210,135,105,68.53300750000001,2.2455096958333343,82.54622133333332,99.8757775,4.552974904166667
43,53,700,210,135,105,68.54931125,2.2465698375,82.5606575625,99.86759562499998,4.552774045833333
44,54,700,210,135,105,68.55399084999999,2.2468939875,82.56303029499999,99.86543052500004,4.552729564999998
45,55,690,230,135,110,68.27755081967213,2.218814253688525,83.108895204918,100.21724494672132,4.456937780737706
46,56,690,230,135,110,68.37093619834711,2.224960828099174,83.32290395454544,100.06727823140494,4.431601522727273
47,57,690,230,135,110,68.39948565573772,2.2267806741803287,83.36264407786886,100.01973588114755,4.4293902581967215
48,58,690,230,135,110,68.41597338842975,2.2277107942148766,83.36915818181818,100.0031620247934,4.428837293388431
49,59,690,230,135,110,68.42095407868852,2.2279870714754093,83.36928842622952,99.99904262295082,4.428708350819673
50,60,680,240,130,100,68.32048594999999,2.216333677499999,84.54882968750002,96.8210985,4.2747263625
51,61,680,240,130,100,68.11729924999997,2.21424659375,85.20785398750004,98.37187437499998,4.33762775375
